dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
03/04/2021,3,4,2021,3077,33,Austria,AT,AUT,8901064,Europe
02/04/2021,2,4,2021,3058,23,Austria,AT,AUT,8901064,Europe
01/04/2021,1,4,2021,3107,28,Austria,AT,AUT,8901064,Europe
31/03/2021,31,3,2021,2810,28,Austria,AT,AUT,8901064,Europe
30/03/2021,30,3,2021,3240,24,Austria,AT,AUT,8901064,Europe
29/03/2021,29,3,2021,2667,11,Austria,AT,AUT,8901064,Europe
28/03/2021,28,3,2021,3896,27,Austria,AT,AUT,8901064,Europe
27/03/2021,27,3,2021,3487,24,Austria,AT,AUT,8901064,Europe
26/03/2021,26,3,2021,3516,16,Austria,AT,AUT,8901064,Europe
25/03/2021,25,3,2021,3262,29,Austria,AT,AUT,8901064,Europe
24/03/2021,24,3,2021,2715,40,Austria,AT,AUT,8901064,Europe
23/03/2021,23,3,2021,2306,23,Austria,AT,AUT,8901064,Europe
22/03/2021,22,3,2021,2918,19,Austria,AT,AUT,8901064,Europe
21/03/2021,21,3,2021,4051,22,Austria,AT,AUT,8901064,Europe
20/03/2021,20,3,2021,3304,15,Austria,AT,AUT,8901064,Europe
19/03/2021,19,3,2021,3507,33,Austria,AT,AUT,8901064,Europe
18/03/2021,18,3,2021,2814,33,Austria,AT,AUT,8901064,Europe
17/03/2021,17,3,2021,2487,23,Austria,AT,AUT,8901064,Europe
16/03/2021,16,3,2021,1910,22,Austria,AT,AUT,8901064,Europe
15/03/2021,15,3,2021,2664,17,Austria,AT,AUT,8901064,Europe
14/03/2021,14,3,2021,3325,17,Austria,AT,AUT,8901064,Europe
13/03/2021,13,3,2021,3009,23,Austria,AT,AUT,8901064,Europe
12/03/2021,12,3,2021,2847,18,Austria,AT,AUT,8901064,Europe
11/03/2021,11,3,2021,2847,12,Austria,AT,AUT,8901064,Europe
10/03/2021,10,3,2021,2194,21,Austria,AT,AUT,8901064,Europe
09/03/2021,9,3,2021,1965,23,Austria,AT,AUT,8901064,Europe
08/03/2021,8,3,2021,2281,9,Austria,AT,AUT,8901064,Europe
07/03/2021,7,3,2021,2846,16,Austria,AT,AUT,8901064,Europe
06/03/2021,6,3,2021,2319,24,Austria,AT,AUT,8901064,Europe
05/03/2021,5,3,2021,2691,19,Austria,AT,AUT,8901064,Europe
04/03/2021,4,3,2021,2497,14,Austria,AT,AUT,8901064,Europe
03/03/2021,3,3,2021,1926,17,Austria,AT,AUT,8901064,Europe
02/03/2021,2,3,2021,1148,25,Austria,AT,AUT,8901064,Europe
01/03/2021,1,3,2021,456112,8414,Austria,AT,AUT,8901064,Europe
03/04/2021,3,4,2021,0,0,Belgium,BE,BEL,11522440,Europe
02/04/2021,2,4,2021,0,8,Belgium,BE,BEL,11522440,Europe
01/04/2021,1,4,2021,2344,36,Belgium,BE,BEL,11522440,Europe
31/03/2021,31,3,2021,4523,31,Belgium,BE,BEL,11522440,Europe
30/03/2021,30,3,2021,5181,33,Belgium,BE,BEL,11522440,Europe
29/03/2021,29,3,2021,6138,31,Belgium,BE,BEL,11522440,Europe
28/03/2021,28,3,2021,1683,23,Belgium,BE,BEL,11522440,Europe
27/03/2021,27,3,2021,3055,28,Belgium,BE,BEL,11522440,Europe
26/03/2021,26,3,2021,5714,20,Belgium,BE,BEL,11522440,Europe
25/03/2021,25,3,2021,5578,34,Belgium,BE,BEL,11522440,Europe
24/03/2021,24,3,2021,5551,27,Belgium,BE,BEL,11522440,Europe
23/03/2021,23,3,2021,5997,24,Belgium,BE,BEL,11522440,Europe
22/03/2021,22,3,2021,6284,33,Belgium,BE,BEL,11522440,Europe
21/03/2021,21,3,2021,1590,24,Belgium,BE,BEL,11522440,Europe
20/03/2021,20,3,2021,2840,24,Belgium,BE,BEL,11522440,Europe
19/03/2021,19,3,2021,5197,31,Belgium,BE,BEL,11522440,Europe
18/03/2021,18,3,2021,5047,26,Belgium,BE,BEL,11522440,Europe
17/03/2021,17,3,2021,4842,25,Belgium,BE,BEL,11522440,Europe
16/03/2021,16,3,2021,4602,28,Belgium,BE,BEL,11522440,Europe
15/03/2021,15,3,2021,5279,25,Belgium,BE,BEL,11522440,Europe
14/03/2021,14,3,2021,1396,20,Belgium,BE,BEL,11522440,Europe
13/03/2021,13,3,2021,2182,24,Belgium,BE,BEL,11522440,Europe
12/03/2021,12,3,2021,3765,20,Belgium,BE,BEL,11522440,Europe
11/03/2021,11,3,2021,3515,26,Belgium,BE,BEL,11522440,Europe
10/03/2021,10,3,2021,3412,24,Belgium,BE,BEL,11522440,Europe
09/03/2021,9,3,2021,3419,23,Belgium,BE,BEL,11522440,Europe
08/03/2021,8,3,2021,3709,36,Belgium,BE,BEL,11522440,Europe
07/03/2021,7,3,2021,795,19,Belgium,BE,BEL,11522440,Europe
06/03/2021,6,3,2021,1524,25,Belgium,BE,BEL,11522440,Europe
05/03/2021,5,3,2021,2750,33,Belgium,BE,BEL,11522440,Europe
04/03/2021,4,3,2021,2708,16,Belgium,BE,BEL,11522440,Europe
03/03/2021,3,3,2021,2772,26,Belgium,BE,BEL,11522440,Europe
02/03/2021,2,3,2021,2775,25,Belgium,BE,BEL,11522440,Europe
01/03/2021,1,3,2021,776324,22255,Belgium,BE,BEL,11522440,Europe
03/04/2021,3,4,2021,4013,125,Bulgaria,BG,BGR,6951482,Europe
02/04/2021,2,4,2021,3694,116,Bulgaria,BG,BGR,6951482,Europe
01/04/2021,1,4,2021,4207,129,Bulgaria,BG,BGR,6951482,Europe
31/03/2021,31,3,2021,5176,155,Bulgaria,BG,BGR,6951482,Europe
30/03/2021,30,3,2021,4497,203,Bulgaria,BG,BGR,6951482,Europe
29/03/2021,29,3,2021,983,60,Bulgaria,BG,BGR,6951482,Europe
28/03/2021,28,3,2021,2537,49,Bulgaria,BG,BGR,6951482,Europe
27/03/2021,27,3,2021,4129,89,Bulgaria,BG,BGR,6951482,Europe
26/03/2021,26,3,2021,3988,99,Bulgaria,BG,BGR,6951482,Europe
25/03/2021,25,3,2021,4375,106,Bulgaria,BG,BGR,6951482,Europe
24/03/2021,24,3,2021,4851,119,Bulgaria,BG,BGR,6951482,Europe
23/03/2021,23,3,2021,4467,169,Bulgaria,BG,BGR,6951482,Europe
22/03/2021,22,3,2021,943,53,Bulgaria,BG,BGR,6951482,Europe
21/03/2021,21,3,2021,2541,34,Bulgaria,BG,BGR,6951482,Europe
20/03/2021,20,3,2021,4162,115,Bulgaria,BG,BGR,6951482,Europe
19/03/2021,19,3,2021,4008,102,Bulgaria,BG,BGR,6951482,Europe
18/03/2021,18,3,2021,4201,136,Bulgaria,BG,BGR,6951482,Europe
17/03/2021,17,3,2021,4374,107,Bulgaria,BG,BGR,6951482,Europe
16/03/2021,16,3,2021,4637,187,Bulgaria,BG,BGR,6951482,Europe
15/03/2021,15,3,2021,679,51,Bulgaria,BG,BGR,6951482,Europe
14/03/2021,14,3,2021,2019,38,Bulgaria,BG,BGR,6951482,Europe
13/03/2021,13,3,2021,3159,102,Bulgaria,BG,BGR,6951482,Europe
12/03/2021,12,3,2021,3121,95,Bulgaria,BG,BGR,6951482,Europe
11/03/2021,11,3,2021,2774,97,Bulgaria,BG,BGR,6951482,Europe
10/03/2021,10,3,2021,3502,138,Bulgaria,BG,BGR,6951482,Europe
09/03/2021,9,3,2021,2995,150,Bulgaria,BG,BGR,6951482,Europe
08/03/2021,8,3,2021,497,21,Bulgaria,BG,BGR,6951482,Europe
07/03/2021,7,3,2021,1426,22,Bulgaria,BG,BGR,6951482,Europe
06/03/2021,6,3,2021,3004,65,Bulgaria,BG,BGR,6951482,Europe
05/03/2021,5,3,2021,2198,93,Bulgaria,BG,BGR,6951482,Europe
04/03/2021,4,3,2021,1154,22,Bulgaria,BG,BGR,6951482,Europe
03/03/2021,3,3,2021,2403,83,Bulgaria,BG,BGR,6951482,Europe
02/03/2021,2,3,2021,2588,117,Bulgaria,BG,BGR,6951482,Europe
01/03/2021,1,3,2021,247038,10191,Bulgaria,BG,BGR,6951482,Europe
03/04/2021,3,4,2021,2362,29,Croatia,HR,HRV,4058165,Europe
02/04/2021,2,4,2021,2422,20,Croatia,HR,HRV,4058165,Europe
01/04/2021,1,4,2021,2623,19,Croatia,HR,HRV,4058165,Europe
31/03/2021,31,3,2021,1487,17,Croatia,HR,HRV,4058165,Europe
30/03/2021,30,3,2021,300,18,Croatia,HR,HRV,4058165,Europe
29/03/2021,29,3,2021,1321,21,Croatia,HR,HRV,4058165,Europe
28/03/2021,28,3,2021,1790,18,Croatia,HR,HRV,4058165,Europe
27/03/2021,27,3,2021,1802,16,Croatia,HR,HRV,4058165,Europe
26/03/2021,26,3,2021,1673,10,Croatia,HR,HRV,4058165,Europe
25/03/2021,25,3,2021,1891,20,Croatia,HR,HRV,4058165,Europe
24/03/2021,24,3,2021,956,22,Croatia,HR,HRV,4058165,Europe
23/03/2021,23,3,2021,150,13,Croatia,HR,HRV,4058165,Europe
22/03/2021,22,3,2021,834,20,Croatia,HR,HRV,4058165,Europe
21/03/2021,21,3,2021,1186,10,Croatia,HR,HRV,4058165,Europe
20/03/2021,20,3,2021,1112,17,Croatia,HR,HRV,4058165,Europe
19/03/2021,19,3,2021,1197,17,Croatia,HR,HRV,4058165,Europe
18/03/2021,18,3,2021,1445,12,Croatia,HR,HRV,4058165,Europe
